"","contrast","estimate","SE","df","t.ratio","pval","taxa","pval.adj"
"26","VE303 Low Dose - Placebo",-0.633870923748304,0.575345105500376,75,-1.10172297928393,0.274105214476266,"tr|A0A1Y3ZX93|A0A1Y3ZX93_9BACE",0.807850739853619
"27","VE303 Low Dose - VE303 High Dose",0.0745471543412124,0.537518510398775,75,0.138687604052756,0.890068726992487,"tr|A0A1Y3ZX93|A0A1Y3ZX93_9BACE",0.930526396401237
"28","VE303 High Dose - Placebo",-0.60585237354757,0.634658626082662,75,-0.95461142202873,0.342841004671603,"tr|A0A174LEQ1|A0A174LEQ1_9FIRM",0.61657146564324
"29","VE303 Low Dose - Placebo",-0.667479110542126,0.644069624409644,75,-1.03634620426936,0.303370550213717,"tr|A0A174LEQ1|A0A174LEQ1_9FIRM",0.820885018225351
"30","VE303 Low Dose - VE303 High Dose",-0.0616267369945558,0.601621216932057,75,-0.102434447556253,0.918685229368455,"tr|A0A174LEQ1|A0A174LEQ1_9FIRM",0.939100456687754
"31","VE303 High Dose - Placebo",-0.654349708145285,0.801916242007494,75,-0.815982609988301,0.417094135718144,"tr|A0A073IP05|A0A073IP05_9PORP",0.61657146564324
"32","VE303 Low Dose - Placebo",-0.197313096779093,0.813808688165984,75,-0.242456365541834,0.809088363973976,"tr|A0A073IP05|A0A073IP05_9PORP",0.913753208438747
"33","VE303 Low Dose - VE303 High Dose",0.457036611366192,0.759578721067471,75,0.601697491899059,0.54919008099034,"tr|A0A073IP05|A0A073IP05_9PORP",0.814927216953408
"34","VE303 High Dose - Placebo",-0.794759366340384,0.5784012939994,75,-1.3740622204438,0.173514973828254,"tr|A0A377BK76|A0A377BK76_ECOLX",0.517906593928003
"35","VE303 Low Dose - Placebo",-0.141045455673014,0.587513513407629,75,-0.240071849334901,0.810929514461273,"tr|A0A377BK76|A0A377BK76_ECOLX",0.913753208438747
"36","VE303 Low Dose - VE303 High Dose",0.65371391066737,0.549396665682998,75,1.18987600671855,0.237848157724673,"tr|A0A377BK76|A0A377BK76_ECOLX",0.690764353635311
"37","VE303 High Dose - Placebo",-1.13367105978411,0.830281727873945,75,-1.36540528560954,0.17620712624188,"tr|A0A0P0FCG9|A0A0P0FCG9_BACT4",0.517906593928003
"38","VE303 Low Dose - Placebo",-0.147725376886393,0.842567146722265,75,-0.17532772012423,0.861294620117757,"tr|A0A0P0FCG9|A0A0P0FCG9_BACT4",0.913753208438747
"39","VE303 Low Dose - VE303 High Dose",0.985945682897715,0.786651877082894,75,1.25334434661728,0.213973604767167,"tr|A0A0P0FCG9|A0A0P0FCG9_BACT4",0.690764353635311
"40","VE303 High Dose - Placebo",0.0419998157806321,0.6131759631886,75,0.0684955352167219,0.945573461392208,"tr|A0A377ZUS4|A0A377ZUS4_KLEPN",0.950607575999723
"41","VE303 Low Dose - Placebo",-0.328671839411803,0.622315216040322,75,-0.528143665686149,0.598958889151768,"tr|A0A377ZUS4|A0A377ZUS4_KLEPN",0.913753208438747
"42","VE303 Low Dose - VE303 High Dose",-0.370671655192435,0.581448738164761,75,-0.63749670583583,0.52574277976579,"tr|A0A377ZUS4|A0A377ZUS4_KLEPN",0.814927216953408
"43","VE303 High Dose - Placebo",1.77843619286477,0.691380956991505,75,2.57229559894665,0.0120798961104567,"tr|U2D571|U2D571_9FIRM",0.0784653146189866
"44","VE303 Low Dose - Placebo",0.762616061710483,0.702275243405302,75,1.0859218929783,0.280991561688215,"tr|U2D571|U2D571_9FIRM",0.807850739853619
"45","VE303 Low Dose - VE303 High Dose",-1.01582013115429,0.65671388387683,75,-1.54682298653032,0.126115422314527,"tr|U2D571|U2D571_9FIRM",0.690764353635311
"46","VE303 High Dose - Placebo",-0.92777949041321,0.735866551724947,75,-1.26079856223713,0.211289558518045,"tr|A0A2X1MFI2|A0A2X1MFI2_ECOLX",0.533020096067116
"47","VE303 Low Dose - Placebo",0.195720888288585,0.746958118199777,75,0.262023912077274,0.794021322297004,"tr|A0A2X1MFI2|A0A2X1MFI2_ECOLX",0.913753208438747
"48","VE303 Low Dose - VE303 High Dose",1.12350037870179,0.698116916445311,75,1.60932983034197,0.111745708488112,"tr|A0A2X1MFI2|A0A2X1MFI2_ECOLX",0.690764353635311
"49","VE303 High Dose - Placebo",-0.311252790157277,0.531118541875127,75,-0.586032619118119,0.559613128500007,"tr|A0A108TCY7|A0A108TCY7_BACSE",0.715061219750009
"50","VE303 Low Dose - Placebo",0.139955474895955,0.538987028261759,75,0.259663902018781,0.795834504335766,"tr|A0A108TCY7|A0A108TCY7_BACSE",0.913753208438747
"51","VE303 Low Dose - VE303 High Dose",0.451208265053232,0.503426693393241,75,0.896274017597197,0.372974250193003,"tr|A0A108TCY7|A0A108TCY7_BACSE",0.714867312869923
"52","VE303 High Dose - Placebo",1.92062832831242,0.573831276563622,75,3.34702621964782,0.00127917436575476,"tr|A0A3E4NRX8|A0A3E4NRX8_9FIRM",0.0588420208247191
"53","VE303 Low Dose - Placebo",2.1825195870548,0.583535722010668,75,3.74016449161771,0.000357401423240262,"tr|A0A3E4NRX8|A0A3E4NRX8_9FIRM",0.016440465469052
"54","VE303 Low Dose - VE303 High Dose",0.261891258742379,0.545876003040614,75,0.479763274596436,0.632791905337944,"tr|A0A3E4NRX8|A0A3E4NRX8_9FIRM",0.867149711099533
"55","VE303 High Dose - Placebo",-0.608448953750813,0.435964942577478,75,-1.3956373421991,0.166942040677424,"tr|G4XR38|G4XR38_LACRH",0.517906593928003
"56","VE303 Low Dose - Placebo",-0.151781270351079,0.443123407613894,75,-0.342525959457619,0.732913207102845,"tr|G4XR38|G4XR38_LACRH",0.913753208438747
"57","VE303 Low Dose - VE303 High Dose",0.456667683399734,0.41447769947387,75,1.10179072113993,0.274075946992194,"tr|G4XR38|G4XR38_LACRH",0.690764353635311
"58","VE303 High Dose - Placebo",0.176272225802177,0.580612703784467,75,0.303596915212541,0.762275628565714,"tr|Q9S3U5|Q9S3U5_BACFG",0.815457649163321
"59","VE303 Low Dose - Placebo",0.399127267903391,0.589275828802718,75,0.677318241127135,0.500288053789288,"tr|Q9S3U5|Q9S3U5_BACFG",0.913753208438747
"60","VE303 Low Dose - VE303 High Dose",0.222855042101214,0.550599800358678,75,0.404749587551684,0.686813658780262,"tr|Q9S3U5|Q9S3U5_BACFG",0.867149711099533
"61","VE303 High Dose - Placebo",-0.864968073161333,0.699574531912463,75,-1.2364201864192,0.220160474462505,"tr|A7LZL8|A7LZL8_BACO1",0.533020096067116
"62","VE303 Low Dose - Placebo",-0.231168202957834,0.709932665112713,75,-0.325619899347965,0.745618676241458,"tr|A7LZL8|A7LZL8_BACO1",0.913753208438747
"63","VE303 Low Dose - VE303 High Dose",0.633799870203499,0.662739894626492,75,0.956332756398643,0.34197665849458,"tr|A7LZL8|A7LZL8_BACO1",0.690764353635311
"64","VE303 High Dose - Placebo",0.35568188793414,0.720427391794054,75,0.493709556279361,0.62295406934985,"sp|A7AZH2|3BHDP_RUMGV",0.774483437570084
"65","VE303 Low Dose - Placebo",0.147833268808621,0.731589542852075,75,0.202071325722205,0.840408080979062,"sp|A7AZH2|3BHDP_RUMGV",0.913753208438747
"66","VE303 Low Dose - VE303 High Dose",-0.207848619125519,0.684022475183309,75,-0.303862265738883,0.762074244273883,"sp|A7AZH2|3BHDP_RUMGV",0.867149711099533
"67","VE303 High Dose - Placebo",-0.395856381120622,0.419381022891509,75,-0.943906279762754,0.348248395442403,"tr|A0A377TRX2|A0A377TRX2_KLEPN",0.61657146564324
"68","VE303 Low Dose - Placebo",-0.537296549173524,0.426016896827094,75,-1.26120948059859,0.211142324177703,"tr|A0A377TRX2|A0A377TRX2_KLEPN",0.807850739853619
"69","VE303 Low Dose - VE303 High Dose",-0.141440168052901,0.398390922534915,75,-0.355028591396947,0.723564622077066,"tr|A0A377TRX2|A0A377TRX2_KLEPN",0.867149711099533
"70","VE303 High Dose - Placebo",0.445777111343637,0.422162930079267,75,1.05593617909544,0.294386953846175,"tr|A0A174RZR9|A0A174RZR9_9CLOT",0.615536358042003
"71","VE303 Low Dose - Placebo",0.0507838741768376,0.42951303210153,75,0.118235933211063,0.906196814745034,"tr|A0A174RZR9|A0A174RZR9_9CLOT",0.926334521739368
"72","VE303 Low Dose - VE303 High Dose",-0.3949932371668,0.401826430161133,75,-0.982994665155319,0.328770548727477,"tr|A0A174RZR9|A0A174RZR9_9CLOT",0.690764353635311
"73","VE303 High Dose - Placebo",-0.471156825370063,0.62673725993998,75,-0.751761312890802,0.454547308550824,"tr|A0A355YEY6|A0A355YEY6_9GAMM",0.61657146564324
"74","VE303 Low Dose - Placebo",-0.101183276208651,0.636008765958203,75,-0.159091008842009,0.874024808071845,"tr|A0A355YEY6|A0A355YEY6_9GAMM",0.913753208438747
"75","VE303 Low Dose - VE303 High Dose",0.369973549161412,0.5938615532863,75,0.622996297898153,0.535176821935405,"tr|A0A355YEY6|A0A355YEY6_9GAMM",0.814927216953408
"76","VE303 High Dose - Placebo",-0.226286069957082,0.646108445748975,75,-0.350229240069396,0.727148354913857,"sp|A7B3K3|3AHDP_RUMGV",0.796465002001406
"77","VE303 Low Dose - Placebo",-0.468487794561037,0.655819955244678,75,-0.714354283998953,0.477225627053684,"sp|A7B3K3|3AHDP_RUMGV",0.913753208438747
"78","VE303 Low Dose - VE303 High Dose",-0.242201724603956,0.612900914836321,75,-0.395172724890837,0.693837130424694,"sp|A7B3K3|3AHDP_RUMGV",0.867149711099533
"79","VE303 High Dose - Placebo",0.335333323173785,0.422272809063694,75,0.794115358545865,0.429633802620993,"tr|A0A1Q6TRJ6|A0A1Q6TRJ6_9FIRM",0.61657146564324
"80","VE303 Low Dose - Placebo",-0.243711793965998,0.429090355906368,75,-0.567973133423624,0.571749721363237,"tr|A0A1Q6TRJ6|A0A1Q6TRJ6_9FIRM",0.913753208438747
"81","VE303 Low Dose - VE303 High Dose",-0.579045117139783,0.4013172579122,75,-1.44286124188177,0.153223171589693,"tr|A0A1Q6TRJ6|A0A1Q6TRJ6_9FIRM",0.690764353635311
"82","VE303 High Dose - Placebo",0.25950675054599,0.320422464041269,75,0.809889379393098,0.420565965299688,"tr|A0A174EAC0|A0A174EAC0_9FIRM",0.61657146564324
"83","VE303 Low Dose - Placebo",-0.0747955595850182,0.326390404782561,75,-0.229159799090437,0.819368476795718,"tr|A0A174EAC0|A0A174EAC0_9FIRM",0.913753208438747
"84","VE303 Low Dose - VE303 High Dose",-0.334302310131009,0.30538499400907,75,-1.09469134597059,0.2771550456177,"tr|A0A174EAC0|A0A174EAC0_9FIRM",0.690764353635311
"85","VE303 High Dose - Placebo",0.0184433168870939,0.295848441304292,75,0.0623404227035432,0.950457578997167,"tr|C5EPR6|C5EPR6_9FIRM",0.950607575999723
"86","VE303 Low Dose - Placebo",-0.156789899423258,0.300785162752955,75,-0.521268728777139,0.603715417795841,"tr|C5EPR6|C5EPR6_9FIRM",0.913753208438747
"87","VE303 Low Dose - VE303 High Dose",-0.175233216310352,0.281359957535427,75,-0.622807942698411,0.535299937256818,"tr|C5EPR6|C5EPR6_9FIRM",0.814927216953408
"88","VE303 High Dose - Placebo",-0.745019314509297,0.352751558542542,75,-2.11202274367683,0.0380144379415445,"tr|A0A175A3Y9|A0A175A3Y9_CLOIN",0.194296016145672
"89","VE303 Low Dose - Placebo",-0.403361374434534,0.359288707226931,75,-1.12266644155828,0.265160310520265,"tr|A0A175A3Y9|A0A175A3Y9_CLOIN",0.807850739853619
"90","VE303 Low Dose - VE303 High Dose",0.341657940074763,0.336164271863835,75,1.01634221322947,0.312733946656829,"tr|A0A175A3Y9|A0A175A3Y9_CLOIN",0.690764353635311
"91","VE303 High Dose - Placebo",0.63553104179775,0.56018181487741,75,1.13450852012543,0.260194340138784,"tr|A0A1C5ZTS2|A0A1C5ZTS2_9CLOT",0.569949506970669
"92","VE303 Low Dose - Placebo",-0.244656365003707,0.568589590797747,75,-0.430286394551205,0.668221248631007,"tr|A0A1C5ZTS2|A0A1C5ZTS2_9CLOT",0.913753208438747
"93","VE303 Low Dose - VE303 High Dose",-0.880187406801457,0.531361002415933,75,-1.6564772401428,0.101803354736994,"tr|A0A1C5ZTS2|A0A1C5ZTS2_9CLOT",0.690764353635311
"94","VE303 High Dose - Placebo",0.311226930400399,0.427750945404768,75,0.727589111710542,0.469130462989422,"tr|A0A174D8X8|A0A174D8X8_9CLOT",0.61657146564324
"95","VE303 Low Dose - Placebo",0.13047840838119,0.434300054162748,75,0.30043378334992,0.764677506776601,"tr|A0A174D8X8|A0A174D8X8_9CLOT",0.913753208438747
"96","VE303 Low Dose - VE303 High Dose",-0.18074852201921,0.406006060404337,75,-0.445186758639032,0.657467081728504,"tr|A0A174D8X8|A0A174D8X8_9CLOT",0.867149711099533
"97","VE303 High Dose - Placebo",0.967251209453732,0.382917008531054,75,2.52600743216997,0.0136461416728672,"tr|A7A5K1|A7A5K1_BIFAD",0.0784653146189866
"98","VE303 Low Dose - Placebo",0.861660406596162,0.389672224664754,75,2.21124409710616,0.0300660558722683,"tr|A7A5K1|A7A5K1_BIFAD",0.600305152722971
"99","VE303 Low Dose - VE303 High Dose",-0.10559080285757,0.364564440479037,75,-0.289635496865311,0.772894307719149,"tr|A7A5K1|A7A5K1_BIFAD",0.867149711099533
"100","VE303 High Dose - Placebo",1.41329812256983,0.525636850603814,75,2.68873485743311,0.00883312977037038,"tr|A0A174THF4|A0A174THF4_9FIRM",0.0784653146189866
"101","VE303 Low Dose - Placebo",0.637728684487102,0.534655492195172,75,1.19278431400515,0.236713795558706,"tr|A0A174THF4|A0A174THF4_9FIRM",0.807850739853619
"102","VE303 Low Dose - VE303 High Dose",-0.77556943808273,0.500172361001039,75,-1.55060434872993,0.125206285091398,"tr|A0A174THF4|A0A174THF4_9FIRM",0.690764353635311
"103","VE303 High Dose - Placebo",0.87365505327524,0.47861260724004,75,1.82539080680144,0.071923237010888,"tr|A0A174PG17|A0A174PG17_9FIRM",0.30076990022735
"104","VE303 Low Dose - Placebo",-0.0257028441830732,0.487251604645255,75,-0.0527506609276049,0.958070826382145,"tr|A0A174PG17|A0A174PG17_9FIRM",0.958070826382145
"105","VE303 Low Dose - VE303 High Dose",-0.899357897458313,0.455875314151431,75,-1.97281552551794,0.0522022451047558,"tr|A0A174PG17|A0A174PG17_9FIRM",0.690764353635311
"106","VE303 High Dose - Placebo",1.323340256991,0.467751625811462,75,2.82915159235472,0.00598425309765742,"tr|A0A150Y9V1|A0A150Y9V1_9FIRM",0.0784653146189866
"107","VE303 Low Dose - Placebo",0.901178068700135,0.475338986959759,75,1.89586399058916,0.061830373147593,"tr|A0A150Y9V1|A0A150Y9V1_9FIRM",0.600305152722971
"108","VE303 Low Dose - VE303 High Dose",-0.422162188290868,0.444583872827899,75,-0.949567031313098,0.345382176817656,"tr|A0A150Y9V1|A0A150Y9V1_9FIRM",0.690764353635311
"109","VE303 High Dose - Placebo",1.5801041842348,0.557315142854523,75,2.83520769979735,0.00588290222235719,"tr|A0A1C6KL97|A0A1C6KL97_9CLOT",0.0784653146189866
"110","VE303 Low Dose - Placebo",1.05873035683529,0.565873912193703,75,1.87096512848763,0.0652505600785838,"tr|A0A1C6KL97|A0A1C6KL97_9CLOT",0.600305152722971
"111","VE303 Low Dose - VE303 High Dose",-0.521373827399513,0.529028560849964,75,-0.985530585649001,0.327532260170214,"tr|A0A1C6KL97|A0A1C6KL97_9CLOT",0.690764353635311
"112","VE303 High Dose - Placebo",1.23507574651354,0.480568059159078,75,2.57003294949468,0.0121525085001107,"tr|A0A1C6JAH3|A0A1C6JAH3_9CLOT",0.0784653146189866
"113","VE303 Low Dose - Placebo",0.650223702417451,0.488274597702228,75,1.33167628518326,0.186999737683097,"tr|A0A1C6JAH3|A0A1C6JAH3_9CLOT",0.807850739853619
"114","VE303 Low Dose - VE303 High Dose",-0.584852044096086,0.456652609085743,75,-1.28073733174767,0.204232384175007,"tr|A0A1C6JAH3|A0A1C6JAH3_9CLOT",0.690764353635311
"115","VE303 High Dose - Placebo",0.320102494957418,0.327700976053644,75,0.976812760255613,0.33180212528604,"sp|C8WJW0|3BHD1_EGGLE",0.61657146564324
"116","VE303 Low Dose - Placebo",0.627076749163661,0.332943462015529,75,1.88343313716854,0.0635185175170408,"sp|C8WJW0|3BHD1_EGGLE",0.600305152722971
"117","VE303 Low Dose - VE303 High Dose",0.306974254206243,0.311376456519307,75,0.985862122132567,0.327370599637574,"sp|C8WJW0|3BHD1_EGGLE",0.690764353635311
"118","VE303 High Dose - Placebo",-0.109725513912115,0.301139903963272,75,-0.364367234192576,0.716609100642901,"tr|A0A099I1L9|A0A099I1L9_CLOIN",0.796465002001406
"119","VE303 Low Dose - Placebo",-0.0566744743010534,0.306591239137095,75,-0.184853534825602,0.853842875514385,"tr|A0A099I1L9|A0A099I1L9_CLOIN",0.913753208438747
"120","VE303 Low Dose - VE303 High Dose",0.053051039611062,0.286849746439007,75,0.184943651753732,0.85377244224513,"tr|A0A099I1L9|A0A099I1L9_CLOIN",0.913337961471534
"121","VE303 High Dose - Placebo",0.262326903381272,0.328927522715996,75,0.797521901527745,0.427665769429148,"tr|C8WKN8|C8WKN8_EGGLE",0.61657146564324
"122","VE303 Low Dose - Placebo",0.468710027520979,0.334059228485437,75,1.40307462735283,0.164721032136493,"tr|C8WKN8|C8WKN8_EGGLE",0.807850739853619
"123","VE303 Low Dose - VE303 High Dose",0.206383124139707,0.312360164746742,75,0.660721652221691,0.51081525639686,"tr|C8WKN8|C8WKN8_EGGLE",0.814927216953408
"124","VE303 High Dose - Placebo",0.916413579962343,0.34636152488912,75,2.64582961475214,0.0099235028318906,"tr|A0A1C6J2W9|A0A1C6J2W9_9FIRM",0.0784653146189866
"125","VE303 Low Dose - Placebo",0.167625409003884,0.351690808784997,75,0.476627210085437,0.635013355526977,"tr|A0A1C6J2W9|A0A1C6J2W9_9FIRM",0.913753208438747
"126","VE303 Low Dose - VE303 High Dose",-0.74878817095846,0.328798994263641,75,-2.27734325232777,0.0256167800837781,"tr|A0A1C6J2W9|A0A1C6J2W9_9FIRM",0.690764353635311
"127","VE303 High Dose - Placebo",0.102665309953403,0.293203350004569,75,0.350150535291643,0.727207175740414,"tr|C8WKN9|C8WKN9_EGGLE",0.796465002001406
"128","VE303 Low Dose - Placebo",0.401299385426697,0.297816185826602,75,1.34747338971142,0.181884502344982,"tr|C8WKN9|C8WKN9_EGGLE",0.807850739853619
"129","VE303 Low Dose - VE303 High Dose",0.298634075473294,0.278491352683902,75,1.07232800083475,0.287011111246295,"tr|C8WKN9|C8WKN9_EGGLE",0.690764353635311
"130","VE303 High Dose - Placebo",-0.348802161214002,0.382411827087844,75,-0.912111332618064,0.364632680104064,"tr|A0A2X2XRM8|A0A2X2XRM8_CITKO",0.61657146564324
"131","VE303 Low Dose - Placebo",-0.231349554236191,0.388387117338444,75,-0.595667425381133,0.55319076452067,"tr|A0A2X2XRM8|A0A2X2XRM8_CITKO",0.913753208438747
"132","VE303 Low Dose - VE303 High Dose",0.117452606977811,0.363164196568544,75,0.323414609941163,0.747281327723295,"tr|A0A2X2XRM8|A0A2X2XRM8_CITKO",0.867149711099533
"133","VE303 High Dose - Placebo",0.276944840816802,0.327012270129465,75,0.846894340408568,0.39974833557638,"tr|C8WKP0|C8WKP0_EGGLE",0.61657146564324
"134","VE303 Low Dose - Placebo",0.583733309670056,0.332216724419934,75,1.75708586221624,0.082984261498128,"tr|C8WKP0|C8WKP0_EGGLE",0.636212671485648
"135","VE303 Low Dose - VE303 High Dose",0.306788468853254,0.310686217478493,75,0.98745438836369,0.326594930985349,"tr|C8WKP0|C8WKP0_EGGLE",0.690764353635311
"136","VE303 High Dose - Placebo",-0.13360872478071,0.375910711138192,75,-0.355426756466093,0.723267583742701,"tr|B0N684|B0N684_9FIRM",0.796465002001406
"137","VE303 Low Dose - Placebo",-0.160728526705082,0.381916902766466,75,-0.420846853178855,0.675070432604226,"tr|B0N684|B0N684_9FIRM",0.913753208438747
"138","VE303 Low Dose - VE303 High Dose",-0.0271198019243721,0.357174684904413,75,-0.0759286787965667,0.939678016570771,"tr|B0N684|B0N684_9FIRM",0.939678016570771
